labels,gender,source,path
fear,male,SAVEE,Savee/KL_f12.wav
fear,male,SAVEE,Savee/KL_f13.wav
fear,male,SAVEE,Savee/KL_f07.wav
happy,male,SAVEE,Savee/KL_h08.wav
angry,male,SAVEE,Savee/DC_a12.wav
angry,male,SAVEE,Savee/DC_a06.wav
sad,male,SAVEE,Savee/DC_sa08.wav
disgust,male,SAVEE,Savee/KL_d11.wav
disgust,male,SAVEE,Savee/KL_d05.wav
neutral,male,SAVEE,Savee/JE_n25.wav
angry,male,SAVEE,Savee/JK_a09.wav
surprise,male,SAVEE,Savee/JK_su14.wav
neutral,male,SAVEE,Savee/JE_n19.wav
fear,male,SAVEE,Savee/JE_f04.wav
fear,male,SAVEE,Savee/JE_f10.wav
surprise,male,SAVEE,Savee/KL_su06.wav
surprise,male,SAVEE,Savee/KL_su12.wav
disgust,male,SAVEE,Savee/JE_d06.wav
disgust,male,SAVEE,Savee/JE_d12.wav
surprise,male,SAVEE,Savee/JE_su09.wav
neutral,male,SAVEE,Savee/KL_n26.wav
sad,male,SAVEE,Savee/JK_sa08.wav
neutral,male,SAVEE,Savee/DC_n26.wav
surprise,male,SAVEE,Savee/DC_su14.wav
neutral,male,SAVEE,Savee/JK_n01.wav
neutral,male,SAVEE,Savee/JK_n15.wav
angry,male,SAVEE,Savee/JE_a11.wav
neutral,male,SAVEE,Savee/JK_n29.wav
angry,male,SAVEE,Savee/JE_a05.wav
fear,male,SAVEE,Savee/JK_f08.wav
disgust,male,SAVEE,Savee/DC_d05.wav
sad,male,SAVEE,Savee/JE_sa01.wav
sad,male,SAVEE,Savee/JE_sa15.wav
disgust,male,SAVEE,Savee/DC_d11.wav
happy,male,SAVEE,Savee/JK_h13.wav
happy,male,SAVEE,Savee/JK_h07.wav
fear,male,SAVEE,Savee/DC_f07.wav
fear,male,SAVEE,Savee/DC_f13.wav
angry,male,SAVEE,Savee/KL_a06.wav
happy,male,SAVEE,Savee/DC_h08.wav
angry,male,SAVEE,Savee/KL_a12.wav
happy,male,SAVEE,Savee/DC_h09.wav
angry,male,SAVEE,Savee/KL_a13.wav
angry,male,SAVEE,Savee/KL_a07.wav
fear,male,SAVEE,Savee/DC_f12.wav
fear,male,SAVEE,Savee/DC_f06.wav
happy,male,SAVEE,Savee/JK_h06.wav
happy,male,SAVEE,Savee/JK_h12.wav
sad,male,SAVEE,Savee/JE_sa14.wav
disgust,male,SAVEE,Savee/DC_d10.wav
disgust,male,SAVEE,Savee/DC_d04.wav
fear,male,SAVEE,Savee/JK_f09.wav
neutral,male,SAVEE,Savee/JK_n28.wav
angry,male,SAVEE,Savee/JE_a04.wav
angry,male,SAVEE,Savee/JE_a10.wav
neutral,male,SAVEE,Savee/JK_n14.wav
surprise,male,SAVEE,Savee/DC_su01.wav
surprise,male,SAVEE,Savee/DC_su15.wav
neutral,male,SAVEE,Savee/DC_n27.wav
sad,male,SAVEE,Savee/JK_sa09.wav
neutral,male,SAVEE,Savee/DC_n25.wav
neutral,male,SAVEE,Savee/DC_n19.wav
surprise,male,SAVEE,Savee/DC_su03.wav
neutral,male,SAVEE,Savee/JK_n16.wav
neutral,male,SAVEE,Savee/JK_n02.wav
angry,male,SAVEE,Savee/JE_a06.wav
angry,male,SAVEE,Savee/JE_a12.wav
disgust,male,SAVEE,Savee/DC_d12.wav
sad,male,SAVEE,Savee/JE_sa02.wav
disgust,male,SAVEE,Savee/DC_d06.wav
happy,male,SAVEE,Savee/JK_h04.wav
happy,male,SAVEE,Savee/JK_h10.wav
disgust,male,SAVEE,Savee/JK_d09.wav
fear,male,SAVEE,Savee/DC_f10.wav
fear,male,SAVEE,Savee/DC_f04.wav
angry,male,SAVEE,Savee/KL_a11.wav
angry,male,SAVEE,Savee/KL_a05.wav
angry,male,SAVEE,Savee/KL_a04.wav
angry,male,SAVEE,Savee/KL_a10.wav
fear,male,SAVEE,Savee/DC_f05.wav
fear,male,SAVEE,Savee/DC_f11.wav
disgust,male,SAVEE,Savee/JK_d08.wav
happy,male,SAVEE,Savee/JK_h11.wav
happy,male,SAVEE,Savee/JK_h05.wav
sad,male,SAVEE,Savee/JE_sa03.wav
disgust,male,SAVEE,Savee/DC_d07.wav
disgust,male,SAVEE,Savee/DC_d13.wav
angry,male,SAVEE,Savee/JE_a13.wav
angry,male,SAVEE,Savee/JE_a07.wav
neutral,male,SAVEE,Savee/JK_n03.wav
neutral,male,SAVEE,Savee/JK_n17.wav
neutral,male,SAVEE,Savee/DC_n18.wav
surprise,male,SAVEE,Savee/DC_su02.wav
neutral,male,SAVEE,Savee/DC_n30.wav
neutral,male,SAVEE,Savee/DC_n24.wav
surprise,male,SAVEE,Savee/DC_su06.wav
neutral,male,SAVEE,Savee/DC_n08.wav
surprise,male,SAVEE,Savee/DC_su12.wav
neutral,male,SAVEE,Savee/DC_n20.wav
angry,male,SAVEE,Savee/JE_a03.wav
neutral,male,SAVEE,Savee/JK_n13.wav
neutral,male,SAVEE,Savee/JK_n07.wav
sad,male,SAVEE,Savee/JE_sa13.wav
disgust,male,SAVEE,Savee/DC_d03.wav
sad,male,SAVEE,Savee/JE_sa07.wav
happy,male,SAVEE,Savee/JK_h01.wav
happy,male,SAVEE,Savee/JK_h15.wav
fear,male,SAVEE,Savee/DC_f15.wav
fear,male,SAVEE,Savee/DC_f01.wav
sad,male,SAVEE,Savee/KL_sa08.wav
angry,male,SAVEE,Savee/KL_a14.wav
angry,male,SAVEE,Savee/KL_a01.wav
angry,male,SAVEE,Savee/KL_a15.wav
sad,male,SAVEE,Savee/KL_sa09.wav
fear,male,SAVEE,Savee/DC_f14.wav
happy,male,SAVEE,Savee/JK_h14.wav
disgust,male,SAVEE,Savee/DC_d02.wav
sad,male,SAVEE,Savee/JE_sa06.wav
sad,male,SAVEE,Savee/JE_sa12.wav
neutral,male,SAVEE,Savee/JK_n06.wav
neutral,male,SAVEE,Savee/JK_n12.wav
angry,male,SAVEE,Savee/JE_a02.wav
neutral,male,SAVEE,Savee/DC_n21.wav
neutral,male,SAVEE,Savee/DC_n09.wav
surprise,male,SAVEE,Savee/DC_su13.wav
surprise,male,SAVEE,Savee/DC_su07.wav
surprise,male,SAVEE,Savee/DC_su11.wav
surprise,male,SAVEE,Savee/DC_su05.wav
neutral,male,SAVEE,Savee/DC_n23.wav
angry,male,SAVEE,Savee/JE_a14.wav
neutral,male,SAVEE,Savee/JK_n04.wav
neutral,male,SAVEE,Savee/JK_n10.wav
sad,male,SAVEE,Savee/JE_sa04.wav
disgust,male,SAVEE,Savee/DC_d14.wav
sad,male,SAVEE,Savee/JE_sa10.wav
happy,male,SAVEE,Savee/JK_h02.wav
fear,male,SAVEE,Savee/DC_f02.wav
angry,male,SAVEE,Savee/KL_a03.wav
angry,male,SAVEE,Savee/KL_a02.wav
fear,male,SAVEE,Savee/DC_f03.wav
happy,male,SAVEE,Savee/JK_h03.wav
disgust,male,SAVEE,Savee/DC_d15.wav
sad,male,SAVEE,Savee/JE_sa11.wav
sad,male,SAVEE,Savee/JE_sa05.wav
disgust,male,SAVEE,Savee/DC_d01.wav
neutral,male,SAVEE,Savee/JK_n11.wav
neutral,male,SAVEE,Savee/JK_n05.wav
angry,male,SAVEE,Savee/JE_a01.wav
angry,male,SAVEE,Savee/JE_a15.wav
neutral,male,SAVEE,Savee/DC_n22.wav
surprise,male,SAVEE,Savee/DC_su04.wav
surprise,male,SAVEE,Savee/DC_su10.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-02-02-01-01.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-01-01-01-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-01-02-01-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-01-02-02-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-02-01-02-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-02-01-01-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-01-01-01-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-01-01-02-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-02-02-02-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-02-02-01-01.wav
happy,male,RAV,Ravdess/Actor_01/03-01-03-02-02-02-01.wav
happy,male,RAV,Ravdess/Actor_01/03-01-03-01-01-02-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-02-02-01-01-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-01-01-02-02-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-02-01-02-01-01.wav
happy,male,RAV,Ravdess/Actor_01/03-01-03-02-01-01-01.wav
happy,male,RAV,Ravdess/Actor_01/03-01-03-01-02-01-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-02-02-02-02-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-02-01-01-02-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-01-01-01-01-01.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-02-01-02-01.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-01-02-02-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-01-01-01-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-01-01-02-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-02-02-02-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-02-02-01-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-01-02-01-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-01-02-02-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-02-01-02-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-02-01-01-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-02-01-02-02-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-01-01-02-01-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-02-02-01-02-01.wav
happy,male,RAV,Ravdess/Actor_01/03-01-03-01-01-01-01.wav
happy,male,RAV,Ravdess/Actor_01/03-01-03-02-02-01-01.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-01-01-02-01.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-02-02-02-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-02-02-02-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-02-02-01-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-01-01-01-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-01-01-02-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-02-01-02-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-02-01-01-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-01-02-01-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-01-02-02-01.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-01-02-01-01.wav
surprise,male,RAV,Ravdess/Actor_01/03-01-08-02-01-01-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-02-01-02-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-02-01-01-01.wav
disgust,male,RAV,Ravdess/Actor_01/03-01-07-01-02-01-01.wav
sad,male,RAV,Ravdess/Actor_01/03-01-04-01-02-02-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-02-02-02-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-02-02-01-01.wav
angry,male,RAV,Ravdess/Actor_01/03-01-05-01-01-01-01.wav
fear,male,RAV,Ravdess/Actor_01/03-01-06-01-01-02-01.wav
neutral,male,RAV,Ravdess/Actor_01/03-01-01-01-01-02-01.wav
